Sample,X2FL,X3FL,DFLac,X3SL,X6SL,LNT,LNnT,LNFP.I,LNFP.II,LNFP.III,LSTb,LSTc,DFLNT,LNH,DSLNT,FLNH,DFLNH,FDSLNH,DSLNH,SUM,Sia,Fuc
HM1224,1436.790099,4210.646882,911.0923076,172.9616291,19.90762089,371.6199803,19.85735323,120.0423205,786.3375246,11.21407789,54.57033375,8.768604831,935.5827796,16.57526377,92.01972811,15.83713611,41.28978634,32.82861069,3.317480897,9261.25952,512.5398279,10389.6264
HM1267,4382.600514,2008.822664,466.4001927,223.3337811,54.75743989,766.5266576,109.1616204,601.9353314,548.889073,6.813008344,46.40048834,22.71805046,961.5770658,40.60226223,56.8450272,71.83007112,27.97626825,88.34480495,11.0763509,10496.61067,659.7421258,10621.14252
HM1136,1941.429312,1960.699862,307.0147456,179.3362084,179.0156965,1114.862968,56.91089563,376.229802,898.2783659,10.70874798,100.8389717,33.98987901,554.7586309,31.61503411,123.0457656,248.1318055,59.50837235,300.2661293,74.10209889,8550.743291,1488.008743,7578.307522
HM1165,2485.621886,2780.136241,626.0583364,151.5539647,38.84000492,317.3006891,69.36783527,141.1359038,505.3086887,5.479859088,39.11873899,16.90940173,365.748141,25.93113013,55.70013425,40.45553133,22.73476624,111.5595044,11.53750701,7810.498264,604.0164017,8098.780101
HM671,2524.886487,2921.330761,406.9695476,279.4533265,131.7997514,544.6385307,89.73730197,256.4732762,922.1445141,10.3433824,42.74258071,38.45105327,893.590497,40.76564773,56.357251,34.68893295,72.25578377,93.8671282,33.37838616,9393.87414,859.6522427,9509.366139
HM1609,2552.720385,2207.683439,454.8342282,427.2827026,46.67340321,494.2406948,65.1092117,316.0029599,646.9816465,12.31209003,80.70689407,27.9987748,671.5758027,32.44031533,100.1253951,37.6764224,51.66367568,69.45580596,14.23788145,8309.721729,950.2999397,8198.980163
HM1618,4524.801673,3285.214882,469.5189222,293.3017822,138.1333494,474.5881224,72.3208688,240.8925833,824.491558,8.092807252,33.41786893,36.86480163,455.1992815,30.08247395,53.60604132,88.91762546,50.38225662,197.5087306,49.46359393,11326.79922,1102.874534,11120.12078
HM1625,4811.090682,1577.230952,306.7622364,281.3577107,114.7974166,478.6057347,225.902095,342.5476397,630.9406128,7.157985801,43.58108528,56.07549496,566.7827239,65.11248589,52.67041531,84.49094696,43.17459731,127.0157663,47.53275383,9862.829336,950.2495783,9413.913701
HM1629,3972.546629,2863.641978,997.0021497,509.5290718,421.8141714,545.8264339,103.2194017,210.7243463,1028.831863,9.254187489,52.78393522,128.2025475,1124.981895,61.82293132,65.38182302,60.44077615,100.1870448,120.1950196,163.0653362,12539.45154,1809.614083,12709.97698
HM666,5351.142721,545.7493826,321.5457661,249.0561666,13.46029206,394.6150822,42.3813385,622.1366279,277.5661406,14.55704153,49.70218237,13.17476257,3.313326608,12.04411332,73.72235369,17.96172754,13.41355266,43.62824546,4.878511621,8064.049335,569.8516251,7549.287178
HM683,1972.41623,3906.128132,504.240025,304.3285187,43.48900089,288.4821554,82.94231167,79.72700528,613.8995993,5.643516344,25.50950069,19.01883717,492.2904439,32.54956213,39.91528493,40.74668316,37.33552939,104.9891521,10.70745455,8604.358943,703.5696406,8791.282315
HM1647,12.5089715,4408.156823,10.55333459,133.835545,364.0968319,1523.682639,115.4159097,196.5526127,2108.955714,10.02095083,89.41334522,91.26970039,393.8880939,85.64558785,94.82566976,264.3494626,159.4159163,470.9304351,139.9367172,10673.45426,2090.001067,8599.189659
HM1842,1810.606646,4436.961019,387.3034737,296.3165138,95.08522911,384.7597814,26.97031836,124.3455846,782.5737138,6.047389115,50.83168025,22.27744543,571.2398068,22.26416822,54.9285139,34.12414481,48.1218863,111.0701701,22.91498424,9288.742469,842.3382051,9319.059001
HM2259,3305.734377,1046.405512,418.1802183,136.5497116,428.9977811,1942.161167,231.4272759,1337.202967,977.4882884,12.61418704,157.7417437,183.9976822,1137.952597,63.30889899,196.4342468,165.9337275,100.533232,111.7083127,131.3017454,12085.67367,1786.175529,10270.41947
HM2288,2054.14241,2855.860729,566.7505697,138.929136,53.55595362,210.7814371,39.60426716,79.30739423,333.3914267,5.330804964,26.10612355,13.19725457,276.0792624,20.82331531,43.94437727,36.06286213,16.62181232,72.40008733,11.63884872,6854.528072,487.7550944,7155.399003
HM2647,11.28778562,3407.856892,3.804927301,160.5573971,100.6191087,786.1720131,96.36279245,88.27079313,889.6049831,9.674343312,46.08067643,16.21222245,119.7889209,69.94581761,58.41771221,157.7975951,41.8018467,268.0841914,28.25786514,6360.597883,1032.988942,5163.367973
